Publisher_Nintendo,Critic_Count,User_Count,Critic_Score,Year_of_Release,Platform_GB,Platform_NES,User_Score,Platform_X360,Platform_PC,Platform_Wii,Publisher_Other,Genre_Platform,Global_Sales
0,32.0,47.0,80.0,2005.0,0,0,7.8,0,0,0,0,0,4.21
0,32.0,22.0,80.0,2003.0,0,0,7.5,0,0,0,0,0,4.2
0,67.0,120.0,80.0,2007.0,0,0,7.1,0,0,0,0,0,4.19
0,77.0,564.0,80.0,2011.0,0,0,7.2,1,0,0,0,0,4.19
0,0.0,0.0,71.0,2011.0,0,0,7.5,1,0,0,0,0,4.18
0,0.0,0.0,71.0,1989.0,0,1,7.5,0,0,0,1,0,4.17
0,61.0,330.0,94.0,2009.0,0,0,7.3,0,0,0,1,0,4.16
1,0.0,0.0,71.0,1984.0,0,1,7.5,0,0,0,0,0,4.16
0,0.0,0.0,71.0,1997.0,0,0,7.5,0,0,0,1,0,4.16
0,25.0,65.0,95.0,2002.0,0,0,7.7,0,0,0,0,0,4.14
0,24.0,3161.0,96.0,1997.0,0,0,9.1,0,1,0,1,0,4.12
1,0.0,0.0,71.0,1995.0,0,0,7.5,0,0,0,0,1,4.12
0,0.0,0.0,71.0,2006.0,0,0,7.5,0,0,0,0,0,4.11
0,0.0,0.0,71.0,1992.0,0,0,7.5,0,0,0,1,0,4.1
0,46.0,785.0,91.0,2007.0,0,0,7.9,0,1,0,0,0,4.09
0,31.0,809.0,88.0,2016.0,0,0,8.4,0,0,0,0,0,4.08
0,70.0,709.0,93.0,2007.0,0,0,8.9,0,0,0,0,0,4.07
0,0.0,23.0,71.0,2005.0,0,0,8.2,0,0,0,0,0,4.06
0,81.0,769.0,84.0,2010.0,0,0,8.1,1,0,0,1,0,4.05
0,66.0,381.0,90.0,2007.0,0,0,8.3,1,0,0,1,0,4.05
0,27.0,44.0,56.0,2007.0,0,0,6.0,0,0,1,0,0,4.05
0,80.0,2996.0,80.0,2014.0,0,0,6.3,0,0,0,0,0,4.05
0,0.0,0.0,71.0,1996.0,0,0,7.5,0,0,0,0,0,4.05
0,25.0,117.0,85.0,2000.0,0,0,8.5,0,0,0,0,0,4.05
0,83.0,1653.0,85.0,2014.0,0,0,7.7,0,0,0,0,0,4.04
1,0.0,0.0,71.0,1997.0,0,0,7.5,0,0,0,0,0,4.03
1,0.0,0.0,71.0,1984.0,0,1,7.5,0,0,0,0,0,4.01
0,21.0,0.0,61.0,2005.0,0,0,7.5,0,0,0,0,0,3.98
0,76.0,681.0,89.0,2009.0,0,0,8.6,1,0,0,0,0,3.97
0,79.0,10179.0,92.0,2015.0,0,0,9.2,0,0,0,0,0,3.97
0,40.0,2050.0,70.0,2014.0,0,0,4.9,0,0,0,0,0,3.96
0,89.0,2679.0,87.0,2015.0,0,0,7.6,0,0,0,1,0,3.95
1,81.0,1958.0,93.0,2011.0,0,0,8.0,0,0,1,0,0,3.95
0,57.0,910.0,90.0,2008.0,0,0,8.0,0,0,0,1,0,3.94
1,65.0,72.0,84.0,2007.0,0,0,8.8,0,0,0,0,0,3.94
1,0.0,0.0,71.0,1994.0,1,0,7.5,0,0,0,0,1,3.91
0,27.0,39.0,81.0,2009.0,0,0,8.7,0,0,1,0,0,3.9
0,38.0,121.0,90.0,2003.0,0,0,8.7,0,0,0,0,0,3.9
1,80.0,348.0,86.0,2014.0,0,0,8.7,0,0,0,0,0,3.89
0,32.0,9073.0,94.0,2011.0,0,0,8.1,0,1,0,1,0,3.88
0,51.0,364.0,87.0,2015.0,0,0,6.7,0,0,0,0,0,3.88
0,62.0,229.0,88.0,2005.0,0,0,8.6,0,0,0,0,0,3.87
0,0.0,0.0,71.0,1988.0,0,1,7.5,0,0,0,1,0,3.87
0,9.0,220.0,84.0,2006.0,0,0,7.4,0,0,0,0,0,3.87
1,0.0,0.0,71.0,2011.0,0,0,7.5,0,0,0,0,0,3.85
0,26.0,38.0,91.0,2004.0,0,0,9.1,0,0,0,0,0,3.85
0,64.0,104.0,76.0,2010.0,0,0,7.9,0,0,0,0,0,3.84
0,0.0,0.0,71.0,1995.0,0,0,7.5,0,0,0,0,0,3.84
1,0.0,0.0,71.0,1992.0,1,0,7.5,0,0,0,0,0,3.83
0,49.0,1564.0,78.0,2013.0,0,0,3.7,0,0,0,0,0,3.83
1,22.0,4.0,59.0,2007.0,0,0,4.0,0,0,0,0,0,3.83
0,64.0,2219.0,80.0,2016.0,0,0,7.0,0,0,0,0,0,3.8
1,33.0,39.0,68.0,2007.0,0,0,6.9,0,0,1,0,0,3.79
